ICOUNTRY;ISO3;Latitude;Longitude;RELRECOD;UNHDI10;UNINHDI;UNINEDUC;UNPOLFRE;UNPOP10;I_RELIGION;I_REGION
Nigeria;NGA;0.9082;8.6753;6;0.423;0.246;0.228;2;158,3;4;1
Norway;NOR;6.0472;8.4689;4;0.938;0.876;0.919;2;4,9;3;4
Pakistan;PAK;30.3753;69.3451;7;0.49;0.336;0.196;2;184,8;4;2
Panama;PAN;0.8538;-80.7821;2;0.755;0.541;0.644;2;3,5;1;5
Paraguay;PRY;-23.4425;-58.4438;2;0.64;0.482;0.494;2;6,5;1;5
Peru;PER;-9.19;-75.0152;2;0.723;0.501;0.51;2;29,5;1;5
Philippines;PHL;12.8797;12.1774;2;0.638;0.518;0.554;2;93,56666667;1;2
Poland;POL;51.9194;19.1451;2;0.795;0.709;0.728;2;38;1;4
Portugal;PRT;39.3999;-8.2245;2;0.795;0.7;0.67;2;10,66666667;1;4
Qatar;QAT;25.3548;51.1839;7;0.803;0.50596;0.5;0;1,5;4;2
Romania;ROU;45.9432;24.9668;3;0.767;0.675;0.693;2;21,16666667;2;4
Russia;RUS;6.1524;105.3188;3;0.719;0.636;0.631;1;140,4;2;4
Rwanda;RWA;-1.9403;29.8739;2;0.385;0.243;0.263;1;10,3;1;1
Sao Tome and Principe;STP;0.1864;6.6131;2;0.488;0.50596;0.324;2;0,2;1;1
Saudi Arabia;SAU;23.8859;45.0792;7;0.752;0.50596;0.5;0;26,16666667;4;2
Senegal;SEN;14.4974;-14.4524;6;0.411;0.262;0.172;2;12,9;4;1
Sierra Leone;SLE;8.4606;-11.7799;6;0.317;0.193;0.15;2;5,766666667;4;1
Singapore;SGP;1.3521;103.8198;14;0.846;0.50596;0.5;1;4,766666667;5;2
Slovakia;SVK;4.8669;1.9699;2;0.818;0.764;0.821;2;5,4;1;4
Slovenia;SVN;46.1512;14.9955;2;0.828;0.771;0.75;2;2;1;4
Solomon Islands;SLB;-9.6457;160.1562;4;0.494;0.50596;0.284;2;0,5;3;3
South Africa;ZAF;-30.5595;22.9375;1;0.597;0.411;0.529;1;50,5;3;1
Spain;ESP;40.4637;-3.7492;2;0.863;0.779;0.781;2;45,26666667;1;4
Sri Lanka;LKA;7.8731;80.7718;14;0.658;0.546;0.519;2;20,36666667;5;2
Sudan;SDN;12.8628;30.2176;7;0.379;0.50596;0.5;0;43,2;4;1
Swaziland;SWZ;-26.5225;31.4659;4;0.498;0.32;0.336;0;1,166666667;3;1
Sweden;SWE;60.1282;18.6435;4;0.885;0.824;0.825;2;9,3;3;4
Switzerland;CHE;46.8182;8.2275;2;0.874;0.813;0.786;2;7,566666667;1;4
Syria;SYR;34.8021;38.9968;7;0.589;0.467;0.312;0;22,5;4;2
Tajikistan;TJK;3.8861;71.2761;7;0.58;0.469;0.608;1;7,066666667;4;2
Tanzania;TZA;-6.369;34.8888;1;0.398;0.285;0.237;1;45;3;1
Thailand;THA;0.1587;100.9925;14;0.654;0.516;0.491;2;68,06666667;5;2
Togo;TGO;8.6195;0.8248;11;0.428;0.287;0.264;1;6,766666667;6;1
Trinidad and Tobago;TTO;10.6918;-61.2225;2;0.736;0.621;0.611;2;1,3;1;5
Tunisia;TUN;33.8869;9.5375;7;0.683;0.511;0.378;1;10,4;4;1
Turkey;TUR;38.9637;35.2433;7;0.679;0.518;0.405;2;75,7;4;2
Ukraine;UKR;48.3794;31.1656;3;0.71;0.652;0.795;2;45,36666667;2;4
United Arab Emirates;ARE;23.4241;53.8478;6;0.815;0.50596;0.5;0;4,7;4;2
United Kingdom;GBR;55.3781;-3.436;5;0.849;0.766;0.766;2;61,86666667;3;4
United States;USA;37.0902;-95.7129;19;0.902;0.799;0.863;2;317,6;;6
Uruguay;URY;-32.5228;-55.7658;2;0.765;0.642;0.653;2;3,366666667;1;5
Uzbekistan;UZB;41.3775;64.5853;7;0.617;0.521;0.672;1;27,8;4;2
Vietnam;VNM;14.0583;108.2772;14;0.572;0.478;0.398;0;89;5;2
Yemen;YEM;15.5527;48.5164;7;0.439;0.289;0.149;1;24,3;4;2
Zambia;ZMB;-13.1339;27.8493;1;0.395;0.27;0.33;1;13,3;3;1
Zimbabwe;ZWE;-19.0154;29.1549;1;0.14;0.098;0.416;1;12,56666667;3;1
Serbia;SRB;44.0165;21.0059;3;0.735;0.656;0.64;2;9,9;2;4
;;;;;;#DIV/0!;0.50596;;;;
